Matric No,Surname,Other Names,Grade,Course,Reason
2022892340,Nnamdi,Joy,Third Class,Biotechnology,Jamb Number has already been used
2017416407,Nnamdi,Grace,Third Class,Microbiology,Jamb Number has already been used
2021685321,Nnamdi,Precious,Second Class Upper,Electrical & Electronics Engineering,Jamb Number has already been used
2013287578,Obi,Victor,Second Class Upper,Public Health Technology,Jamb Number has already been used
2018080844,Onyeka,Samuel,Second Class Upper,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2013095303,Onyeka,Grace,Second Class Upper,Agricultural Science,Matriculation Number Already Exist
2014776256,Umeh,Chukwuemeka,Second Class Upper,Electrical & Electronics Engineering,JAMB Number does not exists
2012238593,Nwosu,Joy,Second Class Lower,Statistics,Matriculation Number Already Exist
2022047677,Nwosu,Joy,Third Class,Civil Engineering,JAMB Number does not exists
2014306595,Umeh,Daniel,Second Class Lower,Urban And Regional Planning,Jamb Number has already been used
2014970637,Onyeka,Chidinma,Second Class Upper,Biotechnology,Matriculation Number Already Exist
2013965663,Agu,Chiamaka,Second Class Lower,Statistics,Jamb Number has already been used
2012447516,Umeh,Samuel,Third Class,Geology,Jamb Number has already been used
2011180579,Obi,Grace,Third Class,Agricultural Science,JAMB Number does not exists
2020542349,Ifeanyi,Emeka,Second Class Lower,Maritime Management Technology,JAMB Number does not exists
2014575689,Nwosu,Daniel,Third Class,Mechanical & Production Engineering,Jamb Number has already been used
2022091137,Okeke,Emeka,Second Class Lower,Chemical Engineering,Jamb Number has already been used
2013618659,Nnamdi,Chidinma,Third Class,Electrical & Electronics Engineering,JAMB Number does not exists
2017766810,Umeh,Chidinma,Third Class,Statistics,Matriculation Number Already Exist
2013365282,Onyeka,Emeka,Second Class Lower,Geology,Jamb Number has already been used
2019604300,Eze,Chidinma,Second Class Upper,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2017212070,Nwosu,Grace,Third Class,Polymer And Textile Engineering,Matriculation Number Already Exist
2021164542,Umeh,Joy,Second Class Lower,Agricultural Science,Matriculation Number Already Exist
2015109983,Okafor,Chidinma,Third Class,Geology,Jamb Number has already been used
2015583526,Agu,Samuel,Third Class,Urban And Regional Planning,Jamb Number has already been used
